execution_id,timestamp,pool,dataset,start_date,end_date,bin_step,fee_rate,pool_share,bin_tvl,deposit,position_bins,strategy,rebalance_cost,fees,il,costs,net_pnl,net_apy,gross_fee_apy,break_even_fee_rate,time_in_range,rebalance_count,max_drawdown
931d05cb64e0,2026-08-02T16:45:10Z,SOL/USDC,data/sol_1m_1y.parquet,2026-02-01,2026-02-28,10,0.001,0.08,13500.0,1000.0,69,passive,0.001,231.11622886139406,-88.6306027863751,0.0,142.485626075019,1.8580931662332216,3.0138863637153888,0.0003834893084878475,7.688872348343878,0,159.41392610946207
931d05cb64e0,2026-08-02T16:45:10Z,SOL/USDC,data/sol_1m_1y.parquet,2026-02-01,2026-02-28,10,0.001,0.08,13500.0,1000.0,69,rebalancing,0.001,1758.6936505823546,-411.37675462875933,21.074907795429063,1326.2419881581664,17.29494576295577,22.934360073094794,0.0002458936849410874,100.0,65,54.72197928729361
48645da39320,2026-08-02T16:45:12Z,SOL/USDC,data/sol_1m_1y.parquet,2026-02-01,2026-02-28,20,0.002,0.08,13500.0,1000.0,69,passive,0.001,818.0090057588053,-86.49342749025993,0.0,731.5155782685454,9.539376949210952,10.667300171860267,0.00021147304462748915,10.904354298474136,0,153.1602088531954
48645da39320,2026-08-02T16:45:12Z,SOL/USDC,data/sol_1m_1y.parquet,2026-02-01,2026-02-28,20,0.002,0.08,13500.0,1000.0,69,rebalancing,0.001,4058.352180002038,-288.08694328163836,7.6416419701878056,3762.623594750212,49.06674014143931,52.92320818283268,0.00014573825638349488,100.0,21,27.14617086605449
25b3c39a4ac8,2026-08-02T16:45:13Z,SOL/USDC,data/sol_1m_1y.parquet,2026-07-01,2026-07-28,4,0.0004,0.08,13500.0,1000.0,69,passive,0.001,17.180098367607208,-0.5943939263524953,0.0,16.585704441254734,0.22075072814189636,0.22866193218572672,1.3839127428355481e-05,9.13395796404153,0,62.14532152350512
25b3c39a4ac8,2026-08-02T16:45:13Z,SOL/USDC,data/sol_1m_1y.parquet,2026-07-01,2026-07-28,4,0.0004,0.08,13500.0,1000.0,69,rebalancing,0.001,218.67460443927146,-231.532771132074,29.632592258286863,-42.49075895108945,-0.5655391973839607,2.910493089219577,0.0004777241766322977,100.0,67,60.180399779808795
0f882d6518fa,2026-08-02T16:45:14Z,SOL/USDC,data/sol_1m_1y.parquet,2026-07-01,2026-07-28,10,0.001,0.08,13500.0,1000.0,69,passive,0.001,172.2858381769594,-0.27929604486314474,0.0,172.00654213209634,2.289355242963531,2.2930725891569983,1.6211201560065097e-06,33.694606229425176,0,53.992322052564305
0f882d6518fa,2026-08-02T16:45:14Z,SOL/USDC,data/sol_1m_1y.parquet,2026-07-01,2026-07-28,10,0.001,0.08,13500.0,1000.0,69,rebalancing,0.001,616.1355383192288,-89.6575321120548,4.811165883126951,521.666840324047,6.943228444525681,8.200578347444585,0.00015332454000768276,100.0,10,13.36542517358339
d6f9889d6075,2026-08-02T16:45:15Z,SOL/USDC,data/sol_1m_1y.parquet,2026-07-01,2026-07-28,20,0.002,0.08,13500.0,1000.0,69,passive,0.001,888.1271125420989,-0.08790396157644409,0.0,888.0392085805224,11.819534262596166,11.820704237835582,1.979535594287519e-07,77.22967839959483,0,36.786467161610176
d6f9889d6075,2026-08-02T16:45:15Z,SOL/USDC,data/sol_1m_1y.parquet,2026-07-01,2026-07-28,20,0.002,0.08,13500.0,1000.0,69,rebalancing,0.001,1257.5297628754986,-65.70553288052862,1.913528282244544,1189.9107017127253,15.837352869592516,16.73734219719833,0.00010754268114999322,100.0,4,7.275748124338861
649f751793ba,2026-08-02T16:45:33Z,SOL/USDC,data/sol_1m_1y.parquet,2025-07-28,2026-07-28,10,0.001,0.08,13500.0,1000.0,69,passive,0.001,1859.0774956791022,-311.3074156972087,0.0,1547.7700799818936,1.5483003198174476,1.8597143841668304,0.00016745262982353044,6.175059952038369,0,338.1564044546192
649f751793ba,2026-08-02T16:45:33Z,SOL/USDC,data/sol_1m_1y.parquet,2025-07-28,2026-07-28,10,0.001,0.08,13500.0,1000.0,69,rebalancing,0.001,5493.386853939027,-634.4108103924151,46.33886564823769,4812.637177898374,4.814285905948356,5.4952687953072825,0.00012392167057241236,100.0,408,52.21562891310441
d6dcecf064e2,2026-08-02T16:45:49Z,SOL/USDC,data/sol_1m_1y.parquet,2025-07-28,2026-07-28,20,0.002,0.08,13500.0,1000.0,69,passive,0.001,7545.330476523823,-307.68815924290914,0.0,7237.642317280914,7.240121811051822,7.547915379050894,8.155723866575103e-05,14.202733051653915,0,325.80145834827545
d6dcecf064e2,2026-08-02T16:45:49Z,SOL/USDC,data/sol_1m_1y.parquet,2025-07-28,2026-07-28,20,0.002,0.08,13500.0,1000.0,69,rebalancing,0.001,19189.007114742824,-580.6519740952168,19.419425516398977,18588.93571513121,18.595303969915427,19.19558094383318,6.25432463517702e-05,100.0,103,39.52640114504811
